UserID,Name,Email,Faculty,Role,Password,First Login
YCHERN,CHERN ,YCHERN@e.ntu.edu.sg;,SCSE,student,Default123!,TRUE
KOH1,KOH ,KOH1@e.ntu.edu.sg;,ADM,student,Default123!,TRUE
BR015,BRANDON ,BR015@e.ntu.edu.sg;,EEE,student,Default123!,TRUE
CT113,CALVIN ,CT113@e.ntu.edu.sg;,SCSE,student,Default123!,TRUE
YCN019,CHAN,YCN019@e.ntu.edu.sg;,NBS,student,Default123!,TRUE
DL007,DENISE,DL007@e.ntu.edu.sg;,SCSE,student,Default123!,TRUE
DON84,DONG,DON84@e.ntu.edu.sg;,ADM,student,Default123!,TRUE
ELI34,ERNEST,ELI34@e.ntu.edu.sg;,EEE,student,Default123!,TRUE
LE51,LEE ,LE51@e.ntu.edu.sg;,SCSE,student,Default123!,TRUE
SL22,LIU ,SL22@e.ntu.edu.sg;,NBS,student,Default123!,TRUE
AKY013,RAWAL,AKY013@e.ntu.edu.sg;,SSS,student,Default123!,TRUE
HUKUMAR,Madhukumar,HUKUMAR@NTU.EDU.SG,SCSE,staff,Default123!,TRUE
OURIN,Alexei ,OURIN@ntu.edu.sg,ADM,staff,Default123!,TRUE
UPAM,Chattopadhyay,UPAM@NTU.EDU.SG,EEE,staff,Default123!,TRUE
ANWIT,Datta,ANWIT@NTU.EDU.SG,SCSE,staff,Default123!,TRUE
ARVI,Arvind ,ARVI@NTU.EDU.SG,NBS,staff,Default123!,TRUE
